location,Kampung Ayer Keroh,Kampung Ayer Keroh,Kampung Ayer Keroh,Kampung Ayer Keroh
lat,2.33324,2.33324,2.33324,2.33324
lon,102.18750,102.18750,102.18750,102.18750
asl,22.146,22.146,22.146,22.146
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kampung Ayer Keroh Temperature [2 m elevation corrected],Kampung Ayer Keroh Precipitation Total,Kampung Ayer Keroh Wind Speed [10 m],Kampung Ayer Keroh Wind Direction [10 m]
20200914T1000,26.890945,0.9,4.6800003,112.61986
20200914T1100,26.960945,0.4,5.0142193,111.03751
20200914T1200,26.920946,0.3,5.1165614,129.2894
20200914T1300,26.870947,0.7,4.6938257,147.52881
20200914T1400,27.220945,0.3,4.5536795,161.56505
20200914T1500,26.990946,0.0,4.73506,171.25385
20200914T1600,26.970945,0.0,4.802999,167.00539
20200914T1700,27.060946,0.0,3.7585104,163.30075
20200914T1800,27.230946,0.0,2.0991426,149.03624
20200914T1900,26.610947,0.0,0.0,180.0
20200914T2000,25.890945,0.0,1.08,270.0
20200914T2100,25.800945,0.0,1.8,270.0
20200914T2200,25.600946,0.0,1.4399999,270.0
20200914T2300,25.370947,0.0,1.4399999,270.0
20200915T0000,25.230946,0.0,1.1384199,288.43497
20200915T0100,25.010946,0.0,0.8049845,296.56506
20200915T0200,24.990946,0.0,0.35999998,180.0
20200915T0300,24.660946,0.0,1.2979984,213.69006
20200915T0400,24.640945,0.0,1.8,216.8699
20200915T0500,24.470945,0.0,1.5273507,225.0
20200915T0600,24.550945,0.0,0.35999998,270.0
20200915T0700,24.380945,0.0,1.0182338,44.999985
20200915T0800,24.840946,0.0,1.5273507,44.999985
20200915T0900,25.950947,0.0,1.08,89.99999
20200915T1000,26.830946,0.0,1.2979984,123.69006
20200915T1100,27.610947,0.0,1.5273507,135.0
20200915T1200,27.550945,0.0,3.4152596,198.43495
20200915T1300,27.320946,0.1,6.830519,198.43495
20200915T1400,27.750946,0.0,8.12197,192.80426
20200915T1500,27.160946,0.0,7.6367526,188.1301
20200915T1600,27.720945,0.0,6.4799995,180.0
20200915T1700,27.740946,0.0,5.0911684,171.8699
20200915T1800,27.610947,0.0,4.452954,165.96376
20200915T1900,26.690947,0.0,3.6179552,174.28941
20200915T2000,26.340946,0.0,2.968636,165.96376
20200915T2100,25.480946,0.0,0.35999998,360.0
20200915T2200,25.760946,0.0,1.0182338,315.0
20200915T2300,25.990946,0.0,1.1384199,341.56506
20200916T0000,26.110947,0.0,1.0182338,315.0
20200916T0100,25.890945,0.0,1.835647,258.69006
20200916T0200,25.700947,0.0,2.0991426,239.03624
20200916T0300,25.600946,0.2,3.319036,220.6013
20200916T0400,25.590946,0.5,3.8268526,221.18593
20200916T0500,25.440947,1.1,4.6102495,218.65982
20200916T0600,25.310946,0.8,4.8965297,216.02737
20200916T0700,25.350946,0.3,4.6938257,212.47119
20200916T0800,25.810946,1.0,4.2136917,199.98311
20200916T0900,26.470945,0.5,2.6208394,164.0546
20200916T1000,28.370947,0.1,4.3349743,184.76364
20200916T1100,27.700947,0.5,7.289444,200.22485
20200916T1200,27.630945,0.4,9.504273,204.62357
20200916T1300,27.390945,0.2,9.19939,210.57922
20200916T1400,28.360947,0.0,8.209263,217.87498
20200916T1500,27.570946,0.0,9.686609,221.98721
20200916T1600,27.680946,0.0,9.220499,218.65982
20200916T1700,27.620947,0.0,7.4128532,209.05461
20200916T1800,28.240946,0.0,5.0911684,188.1301
20200916T1900,27.430946,0.0,3.2399998,180.0
20200916T2000,27.130945,0.0,2.5455842,188.1301
20200916T2100,26.830946,0.0,2.8116899,140.19443
20200916T2200,26.400946,0.0,2.3051248,128.6598
20200916T2300,26.170946,0.0,1.609969,153.43495
20200917T0000,26.000946,0.0,1.484318,194.03624
20200917T0100,25.790947,0.0,2.0991426,210.96376
20200917T0200,25.710945,0.0,3.5455887,203.9625
20200917T0300,25.160946,0.0,4.5536795,198.43495
20200917T0400,24.890945,0.0,4.6800003,202.61987
20200917T0500,24.730946,0.0,5.0911684,225.0
20200917T0600,24.670946,0.0,4.072935,225.0
20200917T0700,24.610947,0.0,3.8939953,213.69006
20200917T0800,26.040947,0.0,2.9024127,209.74489
20200917T0900,27.370947,0.1,5.1544156,192.09476
20200917T1000,28.120947,0.3,8.12197,192.80426
20200917T1100,27.970945,0.1,9.659814,206.56505
20200917T1200,28.300945,0.0,9.793059,216.02737
20200917T1300,29.300945,0.0,9.726664,218.991
20200917T1400,29.770947,0.0,10.739832,219.55966
20200917T1500,29.850946,0.0,11.212135,222.39745
20200917T1600,29.970945,0.0,11.304229,217.23483
20200917T1700,29.620947,0.0,11.298495,210.65067
20200917T1800,29.050945,0.0,10.829958,201.44774
20200917T1900,27.480946,0.0,7.342588,191.30994
20200917T2000,26.320946,0.0,6.519877,186.3402
20200917T2100,26.150946,0.0,3.2399998,180.0
20200917T2200,26.180946,0.0,3.2399998,180.0
20200917T2300,26.190947,0.0,3.2599385,186.3402
20200918T0000,25.980946,0.0,4.0249224,190.30484
20200918T0100,25.550945,0.0,4.452954,194.03624
20200918T0200,25.260946,0.0,4.829907,206.56505
20200918T0300,25.040947,0.0,4.510787,208.61046
20200918T0400,24.880945,0.0,4.2136917,199.98311
20200918T0500,24.730946,0.0,4.6938257,212.47119
20200918T0600,24.670946,0.0,4.8965297,216.02737
20200918T0700,24.640945,0.0,4.510787,208.61046
20200918T0800,25.750946,0.0,3.0758414,200.55605
20200918T0900,27.090946,0.2,8.473393,192.26477
20200918T1000,27.570946,0.3,9.3876505,184.39871
20200918T1100,27.710945,0.2,10.495713,185.90614
