location,Kampung Baharu Nilai,Kampung Baharu Nilai,Kampung Baharu Nilai,Kampung Baharu Nilai
lat,2.66657,2.66657,2.66657,2.66657
lon,101.71875,101.71875,101.71875,101.71875
asl,25.626,25.626,25.626,25.626
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kampung Baharu Nilai Temperature [2 m elevation corrected],Kampung Baharu Nilai Precipitation Total,Kampung Baharu Nilai Wind Speed [10 m],Kampung Baharu Nilai Wind Direction [10 m]
20200914T0500,25.148573,0.0,2.5959969,146.30994
20200914T0600,25.058573,0.0,2.8116899,129.80557
20200914T0700,25.048573,0.0,3.096837,125.537674
20200914T0800,25.478573,0.0,3.219938,116.56505
20200914T0900,26.868572,0.0,4.3498964,114.44395
20200914T1000,27.698572,0.0,4.8965297,126.027374
20200914T1100,28.308573,0.0,5.315336,118.30075
20200914T1200,28.628572,0.0,5.3517847,132.27368
20200914T1300,28.138573,0.0,5.495161,148.3925
20200914T1400,28.298573,0.0,5.95906,154.98311
20200914T1500,28.208572,0.0,5.815978,158.1986
20200914T1600,28.168571,0.0,5.3517847,160.34618
20200914T1700,27.808573,0.0,4.829907,153.43495
20200914T1800,27.478573,0.0,3.096837,144.46231
20200914T1900,26.848572,0.0,1.1384199,108.434944
20200914T2000,25.298573,0.0,2.0364676,135.0
20200914T2100,25.148573,0.0,1.5273507,135.0
20200914T2200,24.888573,0.0,1.2979984,123.69006
20200914T2300,24.688572,0.0,1.2979984,123.69006
20200915T0000,24.558573,0.0,1.08,89.99999
20200915T0100,24.438572,0.0,1.4399999,89.99999
20200915T0200,24.378572,0.0,1.1384199,108.434944
20200915T0300,24.438572,0.0,0.5091169,225.0
20200915T0400,24.458572,0.0,1.8,233.1301
20200915T0500,24.268572,0.0,1.609969,206.56505
20200915T0600,24.208572,0.0,0.5091169,135.0
20200915T0700,24.138573,0.0,1.8,53.130096
20200915T0800,24.658573,0.0,2.0364676,44.999985
20200915T0900,26.168571,0.0,1.9386592,68.19859
20200915T1000,27.158573,0.0,1.1384199,71.56504
20200915T1100,28.228573,0.0,1.8,143.1301
20200915T1200,28.928572,0.0,3.6179552,174.28941
20200915T1300,29.068573,0.0,5.4119864,183.81407
20200915T1400,29.178572,0.0,6.162207,186.70984
20200915T1500,28.228573,0.0,6.12,180.0
20200915T1600,27.798573,0.0,5.8603754,169.38034
20200915T1700,28.278572,0.0,5.3517847,160.34618
20200915T1800,28.078573,0.0,4.829907,153.43495
20200915T1900,27.128572,0.0,3.5455887,156.0375
20200915T2000,26.668571,0.0,3.8268526,138.81407
20200915T2100,25.698572,0.0,3.396233,327.99463
20200915T2200,25.878572,0.0,4.39436,325.008
20200915T2300,25.928572,0.0,4.198285,329.03625
20200916T0000,25.928572,0.0,3.6,323.13013
20200916T0100,25.598572,0.0,3.396233,302.00537
20200916T0200,25.658573,0.0,3.0758414,290.55603
20200916T0300,25.658573,0.0,3.2399998,270.0
20200916T0400,25.698572,0.4,4.3349743,265.23636
20200916T0500,25.488573,0.2,4.452954,255.96376
20200916T0600,25.238573,0.0,4.198285,239.03624
20200916T0700,25.048573,0.0,3.8939953,213.69006
20200916T0800,26.038572,0.0,3.2599385,186.3402
20200916T0900,27.258572,0.1,1.4399999,89.99999
20200916T1000,28.018572,0.2,1.4399999,180.0
20200916T1100,27.918571,0.4,5.0142193,201.0375
20200916T1200,27.738573,0.4,8.557102,202.24902
20200916T1300,27.478573,0.0,7.968939,198.43495
20200916T1400,27.918571,0.0,6.489992,213.69006
20200916T1500,28.128572,0.0,6.3690495,227.29062
20200916T1600,28.568573,0.0,5.6233797,219.80557
20200916T1700,28.808573,0.0,4.510787,208.61046
20200916T1800,28.568573,0.0,3.671294,191.30994
20200916T1900,27.798573,0.0,2.6208394,195.9454
20200916T2000,27.568573,0.0,2.4149535,206.56505
20200916T2100,27.238573,0.0,1.484318,165.96376
20200916T2200,26.798573,0.0,1.08,89.99999
20200916T2300,26.428572,0.0,0.8049845,26.565033
20200917T0000,26.218573,0.0,1.2979984,303.69006
20200917T0100,26.098572,0.0,2.8799999,270.0
20200917T0200,25.658573,0.0,3.4152596,251.56506
20200917T0300,25.358572,0.0,3.563818,225.0
20200917T0400,25.148573,0.0,4.1046314,232.12502
20200917T0500,25.148573,0.0,4.829907,243.43495
20200917T0600,24.898573,0.0,4.0249224,243.43495
20200917T0700,24.758572,0.0,3.319036,229.39871
20200917T0800,25.948572,0.0,2.5455842,225.0
20200917T0900,27.698572,0.0,2.968636,255.96376
20200917T1000,28.158573,0.3,5.3517847,222.27368
20200917T1100,28.108572,0.0,7.42159,219.09386
20200917T1200,28.998573,0.0,7.8954163,223.15239
20200917T1300,30.018572,0.0,8.209263,232.12502
20200917T1400,30.528572,0.0,9.290511,234.46233
20200917T1500,30.648573,0.0,10.1887,237.99463
20200917T1600,30.508572,0.0,10.009036,232.30576
20200917T1700,30.018572,0.0,9.957108,220.60129
20200917T1800,29.368572,0.0,9.511088,209.47589
20200917T1900,28.018572,0.0,7.172949,197.52557
20200917T2000,27.058573,0.0,6.28713,193.24052
20200917T2100,26.688572,0.0,0.35999998,270.0
20200917T2200,26.588572,0.0,0.71999997,180.0
20200917T2300,26.438572,0.0,1.9386592,201.8014
20200918T0000,26.378572,0.0,3.219938,206.56505
20200918T0100,25.878572,0.0,3.8939953,213.69006
20200918T0200,25.558573,0.0,4.5820518,225.0
20200918T0300,25.298573,0.0,4.1046314,232.12502
20200918T0400,25.438572,0.0,3.319036,229.39871
20200918T0500,25.608572,0.0,3.563818,225.0
20200918T0600,25.178572,0.0,4.072935,225.0
20200918T0700,25.028572,0.0,3.7064266,209.05461
20200918T0800,26.118572,0.0,2.9024127,187.12502
20200918T0900,27.178572,0.0,6.849467,183.01279
20200918T1000,27.828573,0.1,7.5599995,180.0
20200918T1100,27.978573,0.2,9.746631,184.23639
20200918T1200,27.698572,0.6,10.464798,183.94519
20200918T1300,27.688572,0.5,9.3876505,184.39871
20200918T1400,28.328573,0.0,9.007196,182.2906
20200918T1500,29.308573,0.0,8.28,180.0
20200918T1600,28.918571,0.0,7.92,180.0
20200918T1700,28.198572,0.3,7.5599995,180.0
20200918T1800,28.298573,0.0,7.2805495,171.46924
20200918T1900,27.128572,0.0,4.896529,162.89728
20200918T2000,26.368572,0.0,4.3498964,155.55605
20200918T2100,26.188572,0.0,2.2768397,108.434944
20200918T2200,26.228573,0.0,2.2768397,71.56504
20200918T2300,26.128572,0.0,2.5959969,56.30993
20200919T0000,26.118572,0.0,2.3051248,51.34018
20200919T0100,25.908573,0.0,2.4149535,63.43495
20200919T0200,26.068573,0.0,2.16,89.99999
20200919T0300,26.158573,0.0,2.8116899,129.80557
20200919T0400,25.718573,0.0,3.8268526,138.81407
20200919T0500,25.218573,0.0,4.0249224,153.43495
20200919T0600,24.948572,0.0,3.671294,168.69006
20200919T0700,25.068573,0.0,2.16,180.0
20200919T0800,26.248573,0.0,2.2768397,161.56505
20200919T0900,27.068573,0.2,7.754637,158.1986
20200919T1000,28.098572,0.2,8.891343,148.24051
20200919T1100,28.668571,0.0,8.707237,150.25511
20200919T1200,28.728573,0.0,9.028754,156.50143
20200919T1300,28.828573,0.2,9.339208,152.44719
20200919T1400,29.338572,0.2,9.885262,146.88866
20200919T1500,29.218573,0.2,9.504272,142.69604
20200919T1600,28.758572,0.0,9.1641035,135.0
20200919T1700,28.298573,0.0,7.7879906,123.69006
20200919T1800,29.158573,0.0,7.8954163,114.22774
20200919T1900,27.658573,0.0,5.0911684,98.1301
20200919T2000,27.108572,0.0,4.32,89.99999
20200919T2100,26.718573,0.0,3.8268526,138.81407
20200919T2200,26.368572,0.0,3.096837,125.537674
20200919T2300,25.988573,0.0,2.968636,104.03624
20200920T0000,25.498573,0.0,2.52,89.99999
20200920T0100,25.318573,0.0,1.835647,78.69006
20200920T0200,25.198572,0.0,1.08,89.99999
20200920T0300,25.048573,0.0,0.8049845,153.43495
20200920T0400,25.168571,0.0,1.8,126.869896
20200920T0500,25.298573,0.0,2.9024127,97.125015
20200920T0600,25.248573,0.0,3.2399998,89.99999
20200920T0700,25.198572,0.0,3.2399998,89.99999
20200920T0800,25.308573,0.0,3.96,89.99999
20200920T0900,26.888573,0.0,5.0528407,94.08562
20200920T1000,28.298573,0.5,4.802999,102.99461
20200920T1100,28.038572,1.5,5.8048253,119.74488
20200920T1200,27.478573,1.4,6.792466,122.00538
20200920T1300,27.358572,0.5,6.6087217,119.35774
20200920T1400,27.498573,0.4,7.10031,120.465546
20200920T1500,28.698572,0.0,6.439876,116.56505
20200920T1600,28.028572,0.0,5.2416787,105.9454
20200920T1700,27.738573,0.0,4.0249224,79.695145
20200920T1800,28.188572,0.0,4.510787,61.38954
20200920T1900,27.748573,0.0,4.0249224,63.43495
20200920T2000,27.418571,0.0,4.0249224,79.695145
20200920T2100,26.758572,0.0,4.8433046,41.987198
20200920T2200,25.768572,0.0,5.495161,31.607498
20200920T2300,24.878572,0.0,5.0911684,8.130096
20200921T0000,24.098572,0.2,5.4119864,3.8140564
20200921T0100,23.828573,0.0,5.4119864,356.18594
20200921T0200,23.528572,0.0,5.0142193,338.9625
20200921T0300,23.248573,0.0,3.8939953,326.30994
20200921T0400,23.008572,0.0,2.5455842,315.0
20200921T0500,23.138573,0.0,1.1384199,341.56506
20200921T0600,23.308573,0.0,1.609969,63.43495
20200921T0700,23.148573,0.0,2.1897945,80.537674
20200921T0800,24.298573,0.0,2.52,89.99999
20200921T0900,26.268572,0.0,2.2768397,251.56506
20200921T1000,27.318573,0.0,3.219938,206.56505
20200921T1100,28.008572,0.0,4.802999,192.99461
20200921T1200,27.648573,0.3,4.6938252,184.39871
20200921T1300,27.668571,1.1,5.04,180.0
20200921T1400,27.548573,0.0,5.7599998,180.0
20200921T1500,27.418571,0.0,7.2359104,174.28941
20200921T1600,27.558573,0.0,7.2805495,171.46924
20200921T1700,28.618572,0.0,7.628263,160.70996
20200921T1800,27.938572,0.0,7.24486,153.43495
20200921T1900,26.878572,0.0,6.297428,149.03624
20200921T2000,25.848572,0.0,6.297428,149.03624
20200921T2100,25.468573,0.0,6.6087217,150.64224
20200921T2200,25.228573,0.0,6.6087217,150.64224
20200921T2300,25.158573,0.0,5.815978,158.1986
